1000 5000
371 768 4250
623 795 9442
271 686 8561
557 796 1314
282 283 9743
17 764 9704
379 420 682
17 944 1902
256 426 7672
296 832 2795
150 509 3282
654 902 7339
761 877 9576
135 885 827
200 395 1554
75 553 9354
368 897 7031
382 562 1936
791 942 1826
663 830 1176
19 952 5206
626 725 5854
40 331 3450
20 260 8090
20 353 574
20 752 3605
445 655 3127
39 571 1514
170 832 265
72 237 521
256 257 1889
97 595 6434
21 431 3604
81 509 7682
487 488 171
279 808 7062
269 714 5634
317 318 8836
22 23 1834
22 81 1015
22 342 596
399 761 849
41 412 6857
512 513 4260
673 815 6488
912 961 1165
372 524 2028
22 746 5908
871 872 1184
794 918 5427
23 72 4276
519 584 6770
351 371 3829
608 609 2119
23 489 435
477 692 6936
238 667 459
23 159 2299
778 779 3616
664 723 1824
714 901 2486
67 461 4678
24 100 2301
426 897 7926
513 594 9757
24 273 7937
435 436 7239
136 184 8529
714 936 1919
366 367 8420
913 916 9950
437 826 3204
361 472 8547
866 868 2753
364 772 8710
540 577 4112
406 541 260
548 978 2462
986 987 7340
17 685 349
648 983 1709
148 457 777
26 27 2061
243 244 7016
26 503 8225
275 885 7415
553 911 1892
148 561 4271
27 67 6846
422 423 4510
262 383 3858
397 511 3035
27 397 9203
449 830 2052
91 639 4019
48 74 6461
27 976 1455
28 29 7256
28 85 1278
28 149 1068
204 227 4124
149 243 7919
542 543 2061
167 172 2798
556 672 2269
761 834 625
29 102 3439
76 185 8517
433 794 3587
47 146 4197
380 381 4474
288 808 2684
251 728 6774
719 826 602
415 469 3829
982 983 4162
39 180 7074
126 596 9432
110 111 1876
356 561 6742
175 583 3520
30 34 8774
530 531 6437
681 748 1748
452 893 6039
634 635 3965
30 922 2971
120 685 750
786 787 4594
9 263 5517
99 100 840
31 636 6591
269 270 5779
31 844 8783
32 33 5857
129 246 5996
254 728 4120
32 359 3883
326 327 9917
85 86 4588
32 839 5022
451 802 5066
303 819 5534
33 103 4793
470 471 6164
514 590 4814
757 766 2499
80 710 1479
33 509 3217
33 526 609
33 852 7869
446 447 5637
68 749 344
24 580 3691
446 524 976
217 218 5586
146 283 2778
985 986 3720
526 707 204
745 789 4146
667 668 7308
150 932 8202
35 274 2141
35 502 2497
220 837 1803
183 345 603
287 473 8608
86 87 3639
676 737 4238
446 610 3077
171 863 216
733 734 7692
585 649 5580
136 698 213
263 903 2207
456 545 5966
998 999 1901
42 795 1693
494 769 8656
957 981 6032
244 245 9189
37 985 1530
38 39 2469
38 212 1349
577 855 494
370 832 6229
38 653 300
532 967 5966
7 8 8900
38 860 3837
644 910 816
38 916 1873
66 67 3815
323 652 6389
260 345 1205
77 235 9979
39 184 9581
295 968 6026
405 730 9939
612 924 3974
74 481 535
738 842 1593
198 621 6215
39 727 2526
39 755 3205
285 453 2302
253 609 2374
496 611 5664
76 731 4859
656 851 2351
846 951 2692
41 943 3141
40 547 8918
600 811 7530
41 314 629
24 271 9982
41 448 2154
102 408 7885
616 617 1505
689 725 2560
634 829 814
36 317 517
147 506 1629
553 716 9330
935 936 6107
364 660 8456
116 680 7255
42 486 1252
223 284 7888
471 770 3078
42 607 2898
630 688 2658
42 858 2537
42 926 7341
66 947 227
43 56 9273
43 298 1
333 694 6605
43 311 2427
641 861 5226
61 927 6454
145 146 7965
101 400 8199
44 54 1917
685 780 1564
712 761 395
462 463 2420
538 815 6743
358 359 5125
788 906 4057
541 829 423
111 257 8831
192 466 1855
125 149 7478
602 941 7980
796 797 6557
734 735 5022
446 789 1146
45 700 3788
45 732 2324
412 455 5196
302 542 4534
376 563 4581
145 482 7219
421 422 2014
191 604 9371
47 48 8837
195 808 6374
47 276 537
292 642 1451
161 295 7718
130 794 626
363 364 1413
7 780 8077
429 472 5809
53 252 9728
48 540 4912
127 794 3892
48 672 3036
602 841 4249
49 52 6982
49 141 210
89 998 8854
603 604 3732
49 359 9520
212 853 9353
49 470 1396
456 726 1004
196 980 6410
853 854 1267
49 849 269
363 770 1925
50 51 9674
39 361 2386
507 768 8275
227 473 8128
272 814 2349
328 874 2330
4 972 1827
606 607 1597
436 558 3540
836 837 6078
75 185 3183
197 198 8016
358 600 5008
253 905 2296
640 913 2121
76 787 4967
283 489 1977
537 671 5469
673 837 19
52 757 2523
329 717 8613
53 54 9104
594 896 5637
114 188 2774
104 902 3767
230 524 9990
545 546 2991
456 894 1988
16 453 7734
414 657 3994
220 626 7663
10 158 8109
23 475 3648
520 521 2306
1 414 8549
54 148 2193
68 69 4703
29 632 5394
121 321 1557
320 959 2661
59 183 1898
99 674 8943
629 630 3341
54 963 5421
54 1000 3055
55 56 295
55 168 6936
55 334 9818
55 346 9936
858 859 1790
55 878 8802
372 491 6230
365 984 8683
202 727 1868
56 273 5581
56 573 9726
305 332 8718
138 398 2454
355 449 6227
180 181 9008
648 940 5931
57 510 4569
57 607 8445
143 386 7188
238 293 3609
301 397 4719
535 638 8931
791 792 4704
468 799 8011
656 816 1643
293 592 5285
231 590 2150
947 948 964
303 701 487
500 793 8906
133 134 1041
59 276 7451
582 967 8416
230 231 9862
59 494 1952
59 576 7356
363 564 1504
91 695 7169
194 196 7442
667 740 1935
60 246 7996
578 836 9462
414 734 9379
60 542 8189
234 422 1791
14 15 7994
57 827 3430
340 643 2320
146 926 1063
545 940 1054
967 969 3731
43 301 1274
117 857 959
153 849 4229
196 220 1746
407 685 57
62 144 8685
668 669 2842
485 775 9833
656 763 3017
98 881 2060
271 585 1868
62 421 2179
260 542 7867
742 910 9229
62 857 6475
541 542 1138
62 953 805
434 585 9705
150 731 792
63 427 2870
63 486 9193
171 746 1514
234 595 2328
64 212 318
158 159 7386
64 548 9499
73 592 9226
782 965 9566
64 757 5997
64 819 7148
497 550 8201
94 197 6098
231 430 2525
432 593 9883
167 168 5443
918 919 658
297 839 9169
65 722 9728
65 751 1723
12 640 4806
65 901 1730
665 674 5304
38 926 7644
66 256 1852
211 699 2823
66 364 1972
96 937 1087
42 43 1559
270 928 5475
570 800 5170
103 481 7695
106 239 3867
77 733 3522
104 280 7580
258 675 5195
24 25 6615
67 690 3983
57 657 7984
67 997 1515
80 81 8065
509 962 1066
29 456 9329
553 554 5799
704 812 3672
122 371 1865
68 849 8491
28 704 389
69 494 2342
69 916 4220
69 992 6348
967 968 2001
444 445 1652
70 219 6005
504 505 1
71 272 6770
906 982 9411
232 793 5848
510 558 415
679 680 3978
71 752 2264
71 834 9023
827 828 4196
12 914 8253
434 759 1960
691 817 9601
290 755 5884
72 653 6118
92 738 8901
540 976 2580
72 886 2712
72 975 1575
523 524 2519
929 930 8784
723 843 1404
547 685 4032
73 351 6862
64 592 4566
399 689 1304
365 386 2002
73 876 646
302 677 161
76 366 185
538 539 1412
143 463 4284
154 155 3372
156 192 5153
571 755 9365
74 194 7153
882 883 9317
178 813 9461
536 904 5235
74 505 557
131 488 496
449 568 3989
362 685 732
272 723 549
89 130 9886
605 777 7249
474 763 6355
482 483 3296
451 452 1935
75 347 1753
847 944 8469
209 623 3927
75 432 7110
312 658 3846
418 419 4588
192 444 1563
75 760 4525
75 894 6520
76 77 6643
719 778 1291
29 738 4185
624 916 2944
103 367 4731
607 990 9334
209 968 6590
480 594 4511
240 726 3438
255 670 2013
259 652 7846
3 586 1309
191 252 8147
249 835 6461
958 959 1406
77 316 3742
460 461 8514
534 884 7676
9 114 146
293 963 2563
81 594 5896
78 389 2481
551 699 506
270 480 6237
79 80 6380
79 226 9625
116 117 5621
79 579 8887
46 168 2354
265 649 5768
600 938 5333
66 66 1557
80 92 4720
12 818 173
995 996 634
792 979 4695
80 400 2704
155 530 4457
113 951 2580
314 444 5506
235 842 9350
840 859 32
210 631 435
206 784 3761
319 612 1970
353 370 9329
81 480 194
64 65 1864
38 737 7336
170 737 4323
301 302 6692
81 639 8314
5 413 1774
222 871 4624
81 843 908
285 727 2667
81 936 7381
705 706 2663
759 774 1667
831 973 7128
82 272 9260
424 532 7420
21 473 7510
729 986 277
82 996 4529
248 249 5059
265 384 3326
178 205 8343
83 248 345
83 271 3869
139 140 9653
482 715 4788
431 452 8115
33 257 2962
83 955 1093
260 879 216
116 452 3000
253 404 6768
279 407 9459
477 946 442
22 589 821
171 989 3346
222 664 9148
81 82 1053
84 85 8684
294 295 1684
221 675 990
6 483 7835
138 877 3128
319 964 726
94 937 1450
753 754 9231
1 254 432
85 593 1024
85 630 8505
30 129 1298
257 377 2253
86 282 3894
176 270 2157
558 844 9625
354 693 5871
636 858 43
345 428 1353
346 347 8220
300 508 4797
29 30 1658
90 442 4371
197 225 1370
32 67 3500
86 924 178
86 980 8729
438 908 3547
87 95 4947
87 232 9474
145 480 7682
993 994 2934
150 169 3900
23 742 2182
50 119 7223
150 725 9445
88 153 396
88 641 7841
488 489 6178
138 933 6998
499 660 8039
102 184 9340
489 521 2693
89 257 6915
282 663 6430
200 487 9261
142 737 5869
238 486 1571
89 855 4538
264 723 6475
409 410 8153
90 267 8114
463 474 654
584 870 7153
280 702 3670
45 259 1823
536 563 4472
369 412 6449
440 744 9997
714 765 7237
51 850 8040
213 992 379
134 275 1311
59 701 1709
672 806 7892
33 373 1822
136 319 3007
693 876 4417
4 870 9387
92 706 9278
51 52 369
867 950 3987
441 442 1913
92 816 1687
183 184 4146
15 907 5871
85 161 714
461 616 2849
436 829 2680
119 551 3887
142 503 4802
94 344 7684
211 550 1915
417 802 8766
94 585 6524
281 488 5118
85 428 165
95 96 703
95 141 1186
970 971 6259
42 477 6646
791 924 8479
383 761 9085
95 988 2836
96 97 1290
96 175 5192
96 449 2637
829 927 8403
96 907 6975
130 131 8887
62 302 1579
91 815 1109
97 187 1857
317 891 432
98 99 7229
190 598 7337
98 181 8328
294 872 8896
50 873 1114
348 585 2057
97 98 5190
98 929 8036
672 673 9391
120 383 3679
118 294 6969
16 89 920
54 794 5601
359 848 5866
136 358 8344
382 477 9970
168 169 4883
545 922 1312
99 936 1756
555 828 6225
533 788 3882
281 639 6565
100 313 492
936 937 6800
100 294 3311
100 576 749
352 448 6381
555 598 8207
187 638 1877
27 531 7887
101 102 1785
74 354 8324
101 143 6829
101 190 428
16 17 5936
101 552 5933
101 760 1526
250 601 8926
101 959 8237
816 889 3849
284 915 4232
419 623 6563
102 611 1803
359 459 1768
589 590 6195
102 952 4348
513 514 471
402 790 2721
228 229 8307
709 969 4337
537 784 2567
103 738 1411
103 935 4423
103 968 3160
409 416 4027
104 138 7245
724 725 4898
200 293 406
246 247 947
104 491 6945
21 31 7537
173 530 500
295 590 4610
57 774 790
104 947 5055
23 24 5045
469 669 9058
105 754 606
105 878 8198
119 126 1832
341 687 8279
106 107 1224
106 194 5062
14 453 1161
65 167 1832
167 604 487
106 527 7275
143 144 5693
265 972 427
834 835 6578
150 516 7402
106 792 9086
829 852 1552
107 122 5884
107 198 3979
122 423 1619
599 600 8626
859 890 1143
963 966 8350
175 820 5475
17 51 4553
108 109 6117
414 642 935
108 206 5547
108 267 2563
526 846 8256
846 865 3292
397 398 9071
485 669 6708
267 268 1291
109 478 5265
91 686 7630
321 676 6779
48 92 1192
23 734 817
110 173 6089
216 489 4936
322 646 9931
581 871 7392
339 964 9668
781 819 4331
481 482 302
111 558 687
171 172 334
130 359 2574
41 489 6247
112 129 2016
556 816 5582
174 618 8790
590 799 407
112 705 586
113 114 7854
113 577 774
66 394 5956
490 767 9567
607 608 3197
652 987 1188
519 520 2281
581 948 3356
636 912 6944
832 983 7600
114 617 44
167 992 9216
56 57 2280
478 581 8514
443 985 9313
674 833 9169
115 702 8218
718 893 7619
304 761 477
322 323 220
160 826 682
130 352 9919
242 451 2718
179 180 1579
509 879 3881
960 993 3658
506 507 2777
176 197 2044
893 894 3330
167 701 2337
546 999 7011
864 962 31
949 950 2159
259 685 114
118 194 5908
587 696 3280
118 254 2097
516 585 2110
187 188 8953
638 650 4102
76 850 3056
612 948 7373
702 842 905
83 456 1659
119 326 6384
389 426 4339
353 680 9515
40 164 9294
304 562 8212
682 880 8850
120 153 7878
9 10 1781
338 654 7783
709 710 7168
120 578 5480
53 263 6070
634 841 3785
301 524 5291
694 867 507
121 122 3768
719 896 550
121 394 4858
132 641 4069
121 562 2149
121 660 2334
121 811 7237
122 123 1871
325 774 2579
163 497 4464
181 197 4728
91 414 5496
238 265 7588
122 548 6664
54 186 1363
123 239 1594
3 863 6554
592 901 715
123 548 2886
739 802 8558
216 217 9103
124 125 4992
124 444 4524
124 465 940
467 468 1524
584 804 194
541 546 7669
125 126 3078
272 273 584
16 56 7891
336 337 2121
125 555 8149
125 570 940
9 737 3107
432 433 3561
53 641 4755
585 586 7300
336 630 7810
339 724 6504
850 920 8955
126 512 2016
838 839 994
29 662 4522
558 559 9198
126 746 140
126 860 4208
127 128 3531
617 806 9048
778 845 5749
303 697 692
48 561 6099
127 809 3266
128 129 781
571 981 4038
84 188 233
128 634 1081
724 907 177
758 1000 6244
129 130 8022
12 626 8366
912 913 8585
579 980 5074
325 487 1260
281 282 3631
169 200 735
129 885 8737
129 971 7895
179 679 2311
717 763 8420
520 597 1811
703 845 1970
407 984 1490
308 998 2335
798 799 1486
462 777 4748
130 544 179
175 176 9591
48 49 1455
144 596 3068
546 961 4953
131 169 6212
400 401 6369
290 291 2003
369 370 1599
236 291 2481
132 750 6317
442 513 194
143 870 5539
133 341 196
207 579 9972
112 221 908
480 481 1498
404 405 6736
133 729 5228
119 244 8445
30 31 1330
147 230 7147
134 176 7047
642 643 3386
4 5 1111
159 160 4412
760 802 5818
984 988 6315
378 838 3018
43 318 3864
199 438 380
135 318 1975
269 680 1391
7 671 4205
135 464 2430
94 609 6095
342 636 4678
266 926 7262
358 627 5210
176 646 6397
183 917 6045
476 847 8320
91 994 6590
601 602 6622
136 506 4164
363 776 9780
81 307 4523
196 831 9550
275 474 5457
137 138 5975
528 597 6505
137 581 1875
5 931 7604
593 973 7590
137 988 590
138 139 1645
163 956 61
331 924 150
138 352 5103
56 914 220
138 484 3533
595 596 6514
531 532 2293
138 616 1618
261 262 4155
304 799 2054
402 741 4948
537 593 122
473 897 40
139 720 3340
139 722 9320
139 892 5626
291 515 7460
140 161 6693
140 424 5105
146 991 357
103 287 4323
318 319 8859
140 899 7680
279 860 484
118 180 7130
9 136 3204
141 695 850
224 595 9446
630 985 5263
141 879 3529
142 143 3789
610 925 9285
100 591 6432
142 589 7544
733 852 5961
142 658 5755
254 881 2242
247 248 6391
234 635 3713
278 554 1333
142 897 9853
142 911 4410
142 913 2314
546 713 5127
729 894 4837
143 202 4006
82 149 8211
620 914 4880
143 449 9533
575 656 263
16 64 1437
241 490 4704
223 767 9831
337 796 8639
296 659 7404
719 720 791
669 764 2399
144 677 9600
354 624 8463
145 241 447
721 836 9097
539 747 2620
835 836 8477
237 552 1772
871 991 3096
756 757 8939
145 662 177
10 193 1923
4 834 7568
146 253 877
533 651 8535
403 924 4857
146 479 7166
146 498 6816
146 547 1623
601 865 8014
146 743 2087
398 752 6708
153 154 6034
140 629 4361
691 869 8782
6 939 9357
496 567 650
147 329 7126
147 393 954
147 399 3753
147 487 9063
718 719 3630
260 472 1047
548 835 9539
77 78 3335
63 412 3861
388 445 4812
180 959 6567
271 444 3894
668 837 2345
149 150 221
10 744 3718
211 949 6094
769 848 4649
149 875 4385
150 151 6317
371 372 832
222 471 9237
150 299 1447
797 850 785
650 651 6532
452 815 7077
578 790 8485
150 568 5709
603 808 4350
164 468 3117
388 389 4561
673 674 4112
535 861 8833
35 36 4783
525 989 9939
151 351 1185
292 721 4360
320 706 7169
152 154 5690
516 622 4436
557 975 483
319 603 8368
231 232 5630
283 284 7729
321 990 3919
255 923 7557
235 654 9111
153 374 3
153 590 3081
49 405 2327
838 982 9548
534 605 334
933 934 3780
992 993 4833
311 968 9806
116 593 9333
310 311 648
154 506 8614
82 620 2710
214 496 5931
154 949 9358
429 913 5202
155 170 1820
155 334 632
155 340 3098
287 784 6227
155 477 5482
851 893 270
80 641 3480
155 730 1192
155 732 3472
155 965 8909
156 157 5946
198 932 4041
156 324 5689
156 445 6356
443 445 7072
156 523 7271
708 709 5598
585 735 1880
157 346 1529
459 460 9204
526 527 825
157 560 6746
157 982 730
32 53 2550
29 592 7725
558 739 6980
810 831 4141
158 431 2008
143 197 9892
158 627 7412
68 416 1899
439 861 6290
876 908 1113
159 401 6525
201 478 7116
776 791 8011
560 954 2727
159 957 8234
807 937 5710
160 225 7724
238 770 5441
236 639 4612
242 804 1253
421 771 3414
37 548 1108
168 967 6742
118 318 6514
123 530 1895
109 928 3882
534 762 2174
162 163 4551
590 699 297
592 593 6272
162 525 3415
510 975 6906
546 547 3835
484 608 6282
162 621 4214
162 637 968
162 819 180
511 763 7142
372 445 2545
76 350 220
470 504 1525
163 686 4750
579 672 2598
85 96 48
566 943 2542
262 263 1570
163 983 1883
655 730 4979
532 830 404
300 891 9941
401 708 3634
225 226 1723
165 358 3186
165 543 7223
165 715 9376
17 616 5581
62 79 7917
73 710 6531
166 432 3517
621 622 7355
566 939 9245
142 365 2089
65 498 1630
871 924 477
395 396 3448
385 921 3855
85 169 258
698 978 3347
322 764 6369
600 905 8020
73 949 8842
168 983 9978
83 119 3201
652 881 4485
169 400 2237
312 668 9309
169 425 4693
718 908 51
260 852 1450
593 598 5390
241 911 7881
178 611 917
170 171 5103
773 774 2005
469 999 9746
550 557 5818
170 648 1561
408 409 2248
81 588 4066
170 745 7873
104 499 6205
170 845 636
170 896 9384
736 884 9229
171 271 5031
71 469 1483
857 858 2230
171 451 9955
473 646 1377
63 617 1750
201 449 4583
565 703 2534
251 252 6167
172 173 1469
66 793 320
476 816 3829
172 581 952
18 314 8876
75 359 6262
130 424 6498
202 774 6751
353 659 2920
172 852 2113
173 174 7911
314 848 6882
461 475 3931
173 631 6416
322 989 5125
84 640 1259
506 594 1900
444 467 6221
868 869 6141
642 733 7574
290 729 8883
174 467 978
112 359 2322
833 933 6842
705 767 4603
956 957 6028
175 585 8622
108 269 7035
107 869 441
175 838 7454
359 360 9908
351 400 7807
13 832 2396
874 936 9033
337 784 4662
344 755 2368
176 500 981
599 846 8747
404 718 152
176 653 7186
656 657 953
277 925 1142
391 725 7764
196 526 2805
200 786 1428
177 581 7907
280 587 896
178 179 3244
852 941 6256
10 431 6966
191 947 6861
328 329 927
265 715 2071
961 962 1220
179 189 5217
179 221 943
179 239 9158
279 349 6770
34 97 5032
489 683 8200
418 965 7474
90 753 79
492 962 1350
172 688 8331
158 840 2335
462 992 4965
263 945 1696
608 775 7773
175 920 1647
241 582 7804
323 424 6699
181 617 5578
182 183 3048
258 371 3552
123 659 5685
272 899 8206
371 739 1145
183 286 6932
183 302 4259
465 963 5717
183 392 8285
183 570 3270
183 618 1162
193 518 3841
230 659 3969
136 232 4229
184 185 3747
184 299 797
184 346 7411
184 395 9697
279 800 4424
977 978 4576
184 840 3628
168 421 1713
185 469 1748
31 327 1267
185 803 1040
417 828 2587
335 1000 2475
110 807 9958
186 216 2386
186 509 3248
84 103 9348
187 227 4336
187 314 4637
187 457 8469
388 958 9712
16 727 9926
260 330 3521
188 232 2057
188 246 3862
188 361 3694
268 739 4523
465 466 9876
189 190 3005
350 828 4325
991 992 4904
509 909 3821
189 764 190
662 663 3293
190 191 731
190 261 591
190 373 7640
387 674 4602
648 649 9005
67 68 8541
51 555 7974
612 944 1423
62 466 132
697 698 9683
858 950 4607
8 585 3221
365 499 1272
191 192 7359
503 667 2220
447 806 3756
191 336 3025
594 679 8335
8 9 719
191 663 773
117 250 5557
191 843 7085
802 803 4801
86 416 2847
493 929 4449
45 46 9304
192 959 4716
50 519 2960
646 830 5157
680 754 7973
521 856 3275
193 500 2135
792 793 7893
193 606 1318
112 366 2816
460 826 3760
389 453 1965
230 561 9210
406 407 3348
194 622 7031
194 735 1414
119 391 1814
194 934 9604
362 870 592
511 601 4630
483 556 9345
195 489 1417
642 647 6486
114 888 1228
83 390 6134
29 255 9640
236 288 595
823 824 9740
612 834 7205
174 175 1388
474 478 3968
196 567 9416
196 606 2923
196 624 385
436 694 7997
13 482 4336
595 994 1588
593 989 3715
162 198 6147
811 812 7850
59 440 5982
780 781 9222
195 700 5192
197 784 9126
95 583 992
431 621 407
124 559 1443
964 965 1324
350 519 618
380 956 738
398 399 9376
73 978 9815
198 990 9807
199 200 6725
273 793 294
22 663 8597
685 703 928
128 578 8549
200 201 9671
104 346 4047
757 923 2843
453 734 4384
19 206 4664
40 41 8183
200 675 2644
166 646 771
746 747 4722
493 754 3072
200 962 6498
200 980 8669
201 202 2041
213 915 8658
174 462 302
201 347 3427
787 788 4619
5 338 8125
489 764 3623
172 506 901
774 775 4826
222 526 942
770 955 2745
258 586 9649
87 450 77
56 169 2432
73 135 4575
203 204 2679
203 214 8068
203 246 4661
298 488 6791
275 434 6813
203 611 2555
203 626 1318
203 635 278
27 396 995
852 883 5969
349 616 4150
204 205 923
28 362 3929
204 462 7161
336 760 4717
24 541 9768
205 206 1744
239 424 1648
495 506 1316
205 487 542
104 359 367
127 514 5424
334 351 3165
216 294 3768
834 841 3031
206 284 773
404 696 8757
206 676 9227
253 850 3577
358 960 4703
180 696 7420
557 819 3644
378 379 7494
434 876 5047
699 943 9124
282 651 2178
224 696 9399
51 611 2533
208 480 1576
126 533 6558
771 772 3183
469 704 8497
397 573 3663
298 341 761
396 397 7981
523 883 5304
385 386 4721
209 657 1549
269 427 1302
76 707 6385
210 211 5929
85 536 742
210 451 7810
264 462 801
755 871 6699
534 554 5018
77 293 1446
484 767 5228
625 696 7897
210 988 3335
123 124 9827
268 510 3997
99 777 2433
211 800 8395
637 638 1372
73 925 7128
500 501 793
370 458 2250
358 1000 4109
483 484 4398
281 456 4173
153 714 1820
198 491 6586
87 883 753
213 835 6632
286 901 1237
25 26 9414
120 338 648
561 562 1249
214 318 2761
725 726 6614
504 731 5556
81 687 2776
703 708 1023
738 832 3589
214 898 4372
214 993 6674
75 197 661
215 216 8313
732 841 951
821 822 6129
468 559 4421
123 783 8533
433 742 5745
517 727 8919
216 566 8214
216 684 8192
25 896 7023
108 272 8652
487 965 9318
323 932 1574
415 416 1678
147 998 9486
217 957 1431
288 289 6062
451 536 3592
218 413 1449
163 656 1975
218 553 4780
218 701 1729
233 901 6264
155 511 180
218 956 1704
219 220 6353
62 220 9546
205 447 7584
219 992 1134
373 374 9571
75 76 7592
313 735 2610
220 736 3943
404 668 9661
35 760 1397
227 275 2381
678 785 8200
585 625 5393
824 825 9351
222 223 8340
343 701 9354
109 587 868
222 484 790
38 411 5166
259 594 8026
222 573 6636
176 742 611
222 589 455
84 667 5682
879 910 2992
222 849 2843
376 632 3143
222 976 1767
488 729 1978
223 225 2748
708 823 8583
711 838 1508
509 696 2784
54 506 5798
223 755 6097
48 259 6711
490 759 260
746 763 4981
141 736 8008
224 685 634
310 416 4360
89 523 6287
224 853 7656
566 600 4629
224 909 8198
585 919 4457
225 325 9246
225 436 1634
526 747 8847
225 729 3775
160 161 3195
902 903 9761
581 582 3042
226 257 9971
724 802 5349
181 182 8733
227 228 47
44 743 5718
70 103 990
105 106 9823
101 136 7404
404 785 1941
67 413 1369
228 291 8482
228 433 5049
599 615 8501
820 976 9387
563 592 9414
228 786 4575
339 340 2626
228 944 927
724 873 2665
570 817 1470
792 795 5253
52 716 2301
229 723 1987
696 919 2615
197 487 1524
492 713 8331
21 375 2096
951 952 4567
783 783 7742
632 639 4579
623 624 1443
230 812 630
705 723 1015
9 730 9495
188 394 2185
725 942 974
98 837 2385
84 468 2307
231 666 2300
591 824 7216
231 842 1644
394 817 1635
232 233 8762
157 439 4627
433 648 2031
693 718 2517
390 844 3941
252 725 9390
233 301 871
349 973 9599
233 819 7995
712 891 7000
652 653 2927
236 829 5076
234 235 4505
522 869 4142
234 455 6097
361 362 1619
779 780 1484
40 299 6757
234 751 5772
10 11 3808
24 973 5032
235 247 6177
322 559 9911
563 571 8744
934 935 525
235 571 7109
430 716 7028
235 701 4431
344 345 7078
656 808 2124
85 276 7913
169 414 2172
381 382 4932
160 450 9191
748 749 2635
212 618 3863
347 827 7819
390 893 3079
237 506 11
145 447 9185
64 682 6570
578 845 4846
504 512 8582
272 338 1893
990 991 2017
106 461 8705
80 203 1975
486 650 5902
21 736 4222
239 240 961
45 660 5584
215 528 5914
239 572 857
456 640 4123
999 1000 2154
597 622 333
639 979 6385
40 528 9372
545 932 4009
621 750 8009
240 427 3174
240 491 1576
53 566 5059
759 903 2700
444 851 1560
240 788 461
241 242 6738
241 486 7882
143 647 1407
241 518 2756
181 562 2439
533 534 4540
38 495 2013
241 912 1256
150 258 8898
115 981 3673
365 634 4418
486 487 6506
242 612 3983
242 634 3829
235 462 2254
242 883 611
203 799 9539
243 619 9240
710 711 2076
357 918 1483
244 366 1496
244 650 3968
133 473 7149
98 513 2106
52 806 9557
114 441 7001
622 706 9666
245 845 9294
245 919 1186
368 884 1563
427 872 2430
403 404 9117
791 994 8171
246 468 9573
246 478 5131
246 509 1499
246 562 6034
118 627 4681
630 854 2700
246 796 365
246 921 2426
368 369 1880
630 715 2739
247 421 9247
275 328 6273
83 84 7743
591 650 1205
302 420 2563
476 522 4637
249 270 5442
249 513 1914
249 557 8475
716 717 2714
126 407 744
464 465 9417
249 936 9241
543 898 83
250 251 3143
250 524 8467
101 903 2196
250 631 5424
515 900 7874
152 605 2239
557 994 4350
943 996 9870
568 682 4480
251 383 550
730 826 9429
512 625 9701
251 687 1087
252 969 687
90 297 8662
791 925 7894
252 656 4056
108 192 9774
473 623 7368
496 497 2948
378 520 2453
253 254 3145
535 730 4952
253 464 8053
253 587 6720
89 348 9196
771 889 4049
206 702 8840
208 209 6990
254 255 701
254 290 7055
859 860 1097
33 34 4252
315 377 4322
164 684 1476
108 730 7922
435 712 9368
714 816 5969
383 582 1546
381 442 7717
